country,state,lat,lng
US,"Nassau County, NY",40.6546,-73.5594
US,"Ramsey County, MN",44.9964,-93.0616
US,"Washoe County, NV",40.5608,-119.6035
US,"Wayne County, PA",41.6739,-75.2479
US,"Yolo County, CA",38.7646,-121.9018
US,"Santa Clara County, CA",37.3541,-121.9552
French Guiana,,3.9339,-53.1258
Malta,,35.9375,14.3754
US,"Douglas County, CO",39.2587,-104.9389
US,"Providence County, RI",41.8882,-71.4774
Martinique,,14.6415,-61.0242
US,"Alameda County, CA",37.6017,-121.7195
US,"Broward County, FL",26.1901,-80.3659
US,"Lee County, FL",26.663,-81.9535
US,"Pinal County, AZ",32.8162,-111.2845
US,"Rockland County, NY",41.1489,-73.983
US,"Saratoga County, NY",43.0324,-73.936
US,"Charleston County, SC",32.7957,-79.7848
US,"Clark County, WA",45.7466,-122.5194
US,"Cobb County, GA",33.8999,-84.5641
US,"Davis County, UT",40.9629,-112.0953
US,"El Paso County, CO",38.9108,-104.4723
US,"Honolulu County, HI",21.307,-157.8584
US,"Jackson County, OR ",42.3345,-122.7647
US,"Jefferson County, WA",47.7425,-123.304
US,"Kershaw County, SC",34.3672,-80.5883
US,"Klamath County, OR",42.6953,-121.6142
US,"Madera County, CA",37.2519,-119.6963
US,"Pierce County, WA",47.0676,-122.1295
US,"Tulsa County, OK",36.1593,-95.941
Bulgaria,,42.7339,25.4858
Maldives,,3.2028,73.2207
US,"Montgomery County, PA",40.229,-75.3879
Bangladesh,,23.685,90.3563
US,"Fairfax County, VA",38.9085,-77.2405
US,"Rockingham County, NH",42.9931,-71.0498
US,"Washington, D.C.",38.9072,-77.0369
Paraguay,,-23.4425,-58.4438
US,"Berkshire County, MA",42.3118,-73.1822
US,"Davidson County, TN",36.1343,-86.822
US,"Douglas County, OR",43.1261,-123.2492
US,"Fresno County, CA",36.9859,-119.2321
US,"Harford County, MD",39.5839,-76.3637
US,"Hendricks County, IN",39.8065,-86.5401
US,"Hudson County, NJ",40.7453,-74.0535
US,"Johnson County, KS",38.8454,-94.8521
US,"Kittitas County, WA",47.175,-120.9319
US,"Manatee County, FL",27.4799,-82.3452
US,"Marion County, OR",44.8446,-122.5927
US,"Okaloosa County, FL",30.5773,-86.6611
US,"Polk County, GA",34.0132,-85.1479
US,"Riverside County, CA",33.9533,-117.3961
US,"Shelby County, TN",35.1269,-89.9253
US,"St. Louis County, MO",38.6103,-90.4125
US,"Suffolk County, NY",40.9849,-72.6151
US,"Ulster County, NY",41.8586,-74.3118
US,"Volusia County, FL",29.028,-81.0755
Canada,Ontario,51.2538,-85.3232
Canada,Alberta,53.9333,-116.5765
Canada,Quebec,52.9399,-73.5491
US,"Johnson County, IA",41.6699,-91.5984
Albania,,41.1533,20.1683
