country_code,population,region,income
MHL,58413,East Asia & Pacific,Upper middle income
MIC,5678540888,,
MKD,2082958,Europe & Central Asia,Upper middle income
MLI,19077690,Sub-Saharan Africa,Low income
MLT,483530,Middle East & North Africa,High income
MMR,53708395,East Asia & Pacific,Lower middle income
MNA,382896715,,
MNE,622345,Europe & Central Asia,Upper middle income
MNG,3170208,East Asia & Pacific,Lower middle income
MNP,56882,East Asia & Pacific,High income
MOZ,29495962,Sub-Saharan Africa,Low income
MRT,4403319,Sub-Saharan Africa,Lower middle income
MUS,1265303,Sub-Saharan Africa,Upper middle income
MWI,18143315,Sub-Saharan Africa,Low income
MYS,31528585,East Asia & Pacific,Upper middle income
NAC,364290258,,
NAM,2448255,Sub-Saharan Africa,Upper middle income
NCL,284060,East Asia & Pacific,High income
NER,22442948,Sub-Saharan Africa,Low income
NGA,195874740,Sub-Saharan Africa,Lower middle income
NIC,6465513,Latin America & Caribbean,Lower middle income
NLD,17231017,Europe & Central Asia,High income
NOR,5314336,Europe & Central Asia,High income
NPL,28087871,South Asia,Low income
NRU,12704,East Asia & Pacific,Upper middle income
NZL,4885500,East Asia & Pacific,High income
OED,1303529456,,
OMN,4829483,Middle East & North Africa,High income
OSS,30758989,,
PAK,212215030,South Asia,Lower middle income
PAN,4176873,Latin America & Caribbean,High income
PER,31989256,Latin America & Caribbean,Upper middle income
PHL,106651922,East Asia & Pacific,Lower middle income
PLW,17907,East Asia & Pacific,High income
PNG,8606316,East Asia & Pacific,Lower middle income
POL,37978548,Europe & Central Asia,High income
PRE,919485393,,
PRI,3195153,Latin America & Caribbean,High income
PRK,25549819,East Asia & Pacific,Low income
PRT,10281762,Europe & Central Asia,High income
PRY,6956071,Latin America & Caribbean,Upper middle income
PSE,4569087,Middle East & North Africa,Lower middle income
PSS,2457367,,
PST,1109997273,,
PYF,277679,East Asia & Pacific,High income
QAT,2781677,Middle East & North Africa,High income
ROU,19473936,Europe & Central Asia,Upper middle income
RUS,144478050,Europe & Central Asia,Upper middle income
RWA,12301939,Sub-Saharan Africa,Low income
SAS,1814388744,,
SAU,33699947,Middle East & North Africa,High income
SDN,41801533,Sub-Saharan Africa,Lower middle income
SEN,15854360,Sub-Saharan Africa,Lower middle income
SGP,5638676,East Asia & Pacific,High income
SLB,652858,East Asia & Pacific,Lower middle income
SLE,7650154,Sub-Saharan Africa,Low income
SLV,6420744,Latin America & Caribbean,Lower middle income
